Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R013286,"Perry, Timothy  A",Perry White Ross & Jacobson,28 Walker Avenue,11/01/22-10/31/23
R010460,"Pounds, Eddie L. ",Perry White Ross & Jacobson,"FanDuel, Inc.",11/01/21-04/30/22
R013476,"Pounds, Eddie L. ",Perry White Ross & Jacobson,Sports Betting Alliance,11/01/22-10/31/23
R007661,"Pounds, Eddie ","Funk & Bolton, P.A.",EZRA Technologies Inc.,03/25/21-10/31/21
R013398,"Pounds, Eddie L. ",Perry White Ross & Jacobson,28 Walker Avenue,11/01/22-10/31/23
R010397,"Pounds, Eddie L. ",Perry White Ross & Jacobson,28 Walker Avenue,11/01/21-10/31/22
R010455,"Pounds, Eddie L. ",Perry White Ross & Jacobson,"DraftKings, Inc.",11/01/21-04/30/22
R007926,"Pruitt, Addison ","Compass Government Relations Partners, LLC","PPE Casino Resorts Maryland, LLC",07/30/21-10/31/21
R014892,"Pruitt, Addison ","Compass Government Relations Partners, LLC","PPE Casino Resorts Maryland, LLC",11/01/22-10/31/23
R010369,"Pruitt, Addison ","Compass Government Relations Partners, LLC","PPE Casino Resorts Maryland, LLC",11/01/21-10/31/22
R001076,"Quinn, Brian M",Venable LLP,"PPE Casino Resorts Maryland, LLC",11/01/19-04/15/20
R012071,"Quinn, Brian M",Venable LLP,MGM Resorts International,07/18/22-10/31/22
R012543,"Quinn, Brian M",Venable LLP,MGM Resorts International,11/01/22-10/31/23
R010668,"Reinhardt, Richard ",Z & C LLC,Diamond Game,11/01/21-10/31/22
R005999,"Reinhardt, Richard ",Z & C LLC,Diamond Game,11/01/20-10/31/21
R009312,"Reith, John  C.",Rifkin Weiner Livingston LLC,Scientific Games Corporation,11/01/21-05/11/22
R005323,"Reith, John  C.",Rifkin Weiner Livingston LLC,"CBAC Gaming, LLC (Horseshoe Casino)",11/01/20-10/31/21
R013884,"Reith, John  C.",Rifkin Weiner Livingston LLC,"CBAC Gaming, LLC (Horseshoe Casino)",11/01/22-10/31/23
R009183,"Reith, John  C.",Rifkin Weiner Livingston LLC,"CBAC Gaming, LLC (Horseshoe Casino)",11/01/21-10/31/22
R000713,"Reith, John  C.",Rifkin Weiner Livingston LLC,"CBAC Gaming, LLC (Horseshoe Casino)",11/01/19-10/31/20
R011955,"Reith, John  C.",Rifkin Weiner Livingston LLC,Scientific Games Corporation,05/11/22-10/31/22
R005424,"Reith, John  C.",Rifkin Weiner Livingston LLC,Scientific Games Corporation,11/01/20-10/31/21
R013967,"Reith, John  C.",Rifkin Weiner Livingston LLC,Scientific Games Corporation,11/01/22-10/31/23
R001067,"Reith, John  C.",Rifkin Weiner Livingston LLC,Scientific Games Corporation,11/01/19-10/31/20
R002284,"Rifkin, Brad ",Rifkin Weiner Livingston LLC,Scientific Games Corporation,11/01/19-10/31/20
R009875,"Rifkin, Brad ",Rifkin Weiner Livingston LLC,Scientific Games Corporation,11/01/21-05/11/22
R013733,"Rifkin, Brad ",Rifkin Weiner Livingston LLC,Scientific Games Corporation,11/01/22-10/31/23
R013592,"Rifkin, Brad ",Rifkin Weiner Livingston LLC,"CBAC Gaming, LLC (Horseshoe Casino)",11/01/22-10/31/23
R005574,"Rifkin, Brad ",Rifkin Weiner Livingston LLC,Scientific Games Corporation,11/01/20-10/31/21
R011956,"Rifkin, Brad ",Rifkin Weiner Livingston LLC,Scientific Games Corporation,05/11/22-10/31/22
R005449,"Rifkin, Brad ",Rifkin Weiner Livingston LLC,"CBAC Gaming, LLC (Horseshoe Casino)",11/01/20-10/31/21
R009826,"Rifkin, Brad ",Rifkin Weiner Livingston LLC,"CBAC Gaming, LLC (Horseshoe Casino)",11/01/21-10/31/22
R002197,"Rifkin, Brad ",Rifkin Weiner Livingston LLC,"CBAC Gaming, LLC (Horseshoe Casino)",11/01/19-10/31/20
R004859,"Ross, Justin ",Perry White Ross & Jacobson,"FanDuel, Inc.",11/01/20-07/01/21
R007605,"Ross, Justin ",Perry White Ross & Jacobson,28 Walker Avenue,03/08/21-07/01/21
R004848,"Ross, Justin ",Perry White Ross & Jacobson,"DraftKings, Inc.",11/01/20-07/01/21
R010721,"Sanchez, Delora R",Cornerstone Government Affairs,Golden Entertainment,11/01/21-10/31/22
R005868,"Sanchez, Delora R",Cornerstone Government Affairs,Golden Entertainment,11/01/20-10/31/21
R001217,"Sanchez, Delora R",Cornerstone Government Affairs,Golden Entertainment,11/01/19-10/31/20
R010728,"Sanchez, Delora R",Cornerstone Government Affairs,"Kathe P Hospitality, Inc",11/01/21-10/31/22
R006025,"Sidh, Sushant ","Capitol Strategies, LLC",Delta Bingo t/a Daily Double Bingo,11/01/20-10/31/21
R001654,"Sidh, Sushant ","Capitol Strategies, LLC",MGM Resorts International,11/01/19-10/31/20
R011865,"Sidh, Sushant ","Capitol Strategies, LLC",Abner's,03/14/22-10/31/22
R009637,"Sidh, Sushant ","Capitol Strategies, LLC",Delta Bingo t/a Daily Double Bingo,11/01/21-10/31/22
R013793,"Sidh, Sushant ","Capitol Strategies, LLC","Atlantic Bingo Supply, Inc",11/01/22-10/31/23
R005996,"Sidh, Sushant ","Capitol Strategies, LLC",MGM Resorts International,11/01/20-10/31/21
R006016,"Sidh, Sushant ","Capitol Strategies, LLC","Atlantic Bingo Supply, Inc",11/01/20-10/31/21
R001644,"Sidh, Sushant ","Capitol Strategies, LLC","Atlantic Bingo Supply, Inc",11/01/19-10/31/20
R013837,"Sidh, Sushant ","Capitol Strategies, LLC",Delta Bingo t/a Daily Double Bingo,11/01/22-10/31/23
R001648,"Sidh, Sushant ","Capitol Strategies, LLC",Delta Bingo t/a Daily Double Bingo,11/01/19-10/31/20
R009950,"Sidh, Sushant ","Capitol Strategies, LLC",MGM Resorts International,11/01/21-05/15/22
R013718,"Sidh, Sushant ","Capitol Strategies, LLC",Abner's,11/01/22-10/31/23
R009262,"Sidh, Sushant ","Capitol Strategies, LLC","Atlantic Bingo Supply, Inc",11/01/21-10/31/22
R015030,"Skvirsky, Valerie ",Harris Jones & Malone,"Penn National Gaming, Inc.",11/01/22-10/31/23
R000563,"Stierhoff, John R.",Venable LLP,"Lifebridge Health, Inc.",11/01/19-11/01/19
R012515,"Stierhoff, John R.",Venable LLP,MGM Resorts International,11/01/22-10/31/23
R012067,"Stierhoff, John R.",Venable LLP,MGM Resorts International,07/18/22-10/31/22
R000632,"Stierhoff, John R.",Venable LLP,"PPE Casino Resorts Maryland, LLC",11/01/19-04/15/20
R004121,"Tabuteau, Richard A","Bet on Black, LLC","Bet on Black, LLC",09/16/20-10/31/20
R005918,"Tabuteau, Richard A","Bet on Black, LLC","Bet on Black, LLC",11/01/20-10/31/21
R010305,"Tabuteau, Richard A","Bet on Black, LLC","Bet on Black, LLC",11/01/21-10/31/22
R001647,"Tompsett Jr., Thomas R.",Harris Jones & Malone,"Gaming and Leisure Properties, Inc.",11/01/19-10/31/20
R015065,"Tompsett Jr., Thomas R.",Harris Jones & Malone,"Penn National Gaming, Inc.",11/01/22-10/31/23
R006220,"Tompsett Jr., Thomas R.",Harris Jones & Malone,"Gaming and Leisure Properties, Inc.",11/01/20-10/31/21
R004577,"Tyrrell, Joseph ",Caesars Enterprise Services LLC,"Caesars Enterprise Services, LLC",11/01/20-10/31/21
R013721,"Tyrrell, Joseph ",Caesars Enterprise Services LLC,"Caesars Enterprise Services, LLC",11/01/22-10/31/23
R009555,"Tyrrell, Joseph ",Caesars Enterprise Services LLC,"Caesars Enterprise Services, LLC",11/01/21-10/31/22
R001517,"Tyrrell, Joseph ",Caesars Enterprise Services LLC,"Caesars Enterprise Services, LLC",11/01/19-10/31/20
R012689,"Watson, Kerry  Russell",MGM Resorts International ,MGM Resorts International,11/01/22-10/31/23
R009244,"Watson, Kerry  Russell",MGM Resorts International ,MGM Resorts International,11/01/21-10/31/22
R005061,"Watson, Kerry  Russell",MGM National Harbor,MGM National Harbor,11/01/20-10/31/21
R000755,"Watson, Kerry  Russell",MGM National Harbor,MGM National Harbor,11/01/19-10/31/20
R005553,"White, Josh ",Perry White Ross & Jacobson,"DraftKings, Inc.",11/01/20-10/31/21
R008398,"White, Josh ",Perry White Ross & Jacobson,"DraftKings, Inc.",11/01/21-04/30/22
R008402,"White, Josh ",Perry White Ross & Jacobson,"FanDuel, Inc.",11/01/21-04/30/22
R013493,"White, Josh ",Perry White Ross & Jacobson,28 Walker Avenue,11/01/22-10/31/23
R000846,"White, Josh ",Perry White Ross & Jacobson,"DraftKings, Inc.",11/01/19-10/31/20
R000849,"White, Josh ",Perry White Ross & Jacobson,"FanDuel, Inc.",11/01/19-10/31/20
R005561,"White, Josh ",Perry White Ross & Jacobson,"FanDuel, Inc.",11/01/20-10/31/21
R008381,"White, Josh ",Perry White Ross & Jacobson,28 Walker Avenue,11/01/21-10/31/22
R007450,"Wise, J. Steven","Schwartz, Metz & Wise, P.A.",Bally's Corporation,02/09/21-10/31/21
R000090,"Wise, J. Steven","Schwartz, Metz & Wise, P.A.","PPE Casino Resorts Maryland, LLC",11/01/19-03/19/20
R009483,"Wise, J. Steven","Schwartz, Metz & Wise, P.A.",Bally's Corporation,11/01/21-12/31/21
R005985,"Zektick, Barbara Sharon",Z & C LLC,Diamond Game,11/01/20-10/31/21
R010575,"Zektick, Barbara Sharon",Z & C LLC,Diamond Game,11/01/21-10/31/22
